Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,1,Zeros,0.2,extremal_mask,1.0,1.0,0.945,0.0837,0.2618,-0.1705,-0.06271
42,1,Zeros,0.2,integrated_gradients,1.0,1.0,0.9767,-0.004456,0.1087,-0.01765,-0.0149
42,1,Zeros,0.2,gradient_shap,1.0,1.0,0.9709,-0.00794,0.1167,-0.02408,-0.004438
42,1,Zeros,0.2,lime,1.0,1.0,0.9874,-0.005952,0.08627,0.004778,-0.01602
42,1,Zeros,0.2,augmented_occlusion,1.0,1.0,0.9756,-0.007089,0.1081,-0.01709,-0.01028
42,1,Zeros,0.2,occlusion,1.0,1.0,0.9754,-0.008071,0.1103,-0.01929,-0.01206
42,1,Zeros,0.2,retain,1.0,1.0,0.9761,-0.01089,0.1111,-0.02001,-0.004329
42,1,Zeros,0.3,deep_lift,1.0,1.0,0.9759,-0.006241,0.1135,-0.0225,-0.01489
42,1,Zeros,0.3,dyna_mask,1.0,1.0,0.9772,-0.008995,0.09697,-0.005923,0.006104
42,1,Zeros,0.3,extremal_mask,1.0,1.0,0.9482,0.08373,0.2643,-0.1731,-0.06107
42,1,Zeros,0.3,integrated_gradients,1.0,1.0,0.9761,-0.004255,0.1164,-0.0254,-0.0156
42,1,Zeros,0.3,gradient_shap,1.0,1.0,0.9698,-0.01007,0.1239,-0.03129,-0.001441
42,1,Zeros,0.3,lime,1.0,1.0,0.9826,-0.01173,0.08207,0.008978,-0.01352
42,1,Zeros,0.3,augmented_occlusion,1.0,1.0,0.9759,-0.01039,0.111,-0.01996,-0.00922
42,1,Zeros,0.3,occlusion,1.0,1.0,0.9765,-0.01183,0.1131,-0.02202,-0.01013
42,1,Zeros,0.3,retain,1.0,1.0,0.9761,-0.01423,0.1165,-0.02541,-0.002083
42,1,Zeros,0.4,deep_lift,1.0,1.0,0.9761,-0.007544,0.1167,-0.02564,-0.01365
42,1,Zeros,0.4,dyna_mask,1.0,1.0,0.9752,-0.009994,0.09995,-0.008906,0.01023
42,1,Zeros,0.4,extremal_mask,1.0,1.0,0.9513,0.08329,0.2661,-0.1749,-0.05865
42,1,Zeros,0.4,integrated_gradients,1.0,1.0,0.9761,-0.006225,0.1194,-0.02833,-0.01391
42,1,Zeros,0.4,gradient_shap,1.0,1.0,0.9691,-0.01039,0.1296,-0.03692,0.0003952
42,1,Zeros,0.4,lime,1.0,1.0,0.9713,0.0226,0.1308,-0.03972,-0.01027
42,1,Zeros,0.4,augmented_occlusion,1.0,1.0,0.9761,-0.0122,0.1153,-0.02429,-0.00817
42,1,Zeros,0.4,occlusion,1.0,1.0,0.9761,-0.01367,0.117,-0.02599,-0.008981
42,1,Zeros,0.4,retain,1.0,1.0,0.9761,-0.01686,0.1163,-0.02524,-0.001549
42,1,Zeros,0.5,deep_lift,1.0,1.0,0.9761,-0.01127,0.118,-0.02693,-0.01114
42,1,Zeros,0.5,dyna_mask,1.0,1.0,0.9687,-0.003535,0.1141,-0.02303,0.01421
42,1,Zeros,0.5,extremal_mask,1.0,1.0,0.955,0.08001,0.263,-0.1717,-0.05598
42,1,Zeros,0.5,integrated_gradients,1.0,1.0,0.9763,-0.01018,0.1192,-0.02812,-0.01191
42,1,Zeros,0.5,gradient_shap,1.0,1.0,0.9698,-0.01031,0.1328,-0.04012,0.0008105
42,1,Zeros,0.5,lime,1.0,1.0,0.9735,-0.004171,0.1343,-0.04328,-0.007831
42,1,Zeros,0.5,augmented_occlusion,1.0,1.0,0.9761,-0.01349,0.1169,-0.02586,-0.007222
42,1,Zeros,0.5,occlusion,1.0,1.0,0.9761,-0.01653,0.1147,-0.0237,-0.006957
42,1,Zeros,0.5,retain,1.0,1.0,0.9761,-0.01997,0.1144,-0.02336,-0.000366
42,1,Zeros,0.6,deep_lift,1.0,1.0,0.9761,-0.01567,0.1161,-0.02507,-0.008526
