Seed,Noise,Activations,Explainer,Purity,Std_0,Std_1
48,0.25,relu,enhanced_integrated_gradients_15,0.9448,2.548,0.9307
48,0.25,relu,gradient_shap,0.8856,3.463,1.042
48,0.25,relu,integrated_gradients,0.892,3.374,0.9763
48,0.25,relu,smooth_grad,0.8912,3.283,0.9761
60,0.05,relu,acc,1.0
60,0.05,relu,geodesic_integrated_gradients_5,0.9856,5.887e-05,6.578e-05
60,0.05,relu,geodesic_integrated_gradients_10,0.9856,5.893e-05,6.47e-05
60,0.05,relu,geodesic_integrated_gradients_15,0.9856,5.893e-05,6.468e-05
60,0.05,relu,enhanced_integrated_gradients_5,0.9856,0.02826,0.0001089
60,0.05,relu,enhanced_integrated_gradients_10,0.9856,0.02102,9.99e-05
60,0.05,relu,enhanced_integrated_gradients_15,0.9856,0.108,0.0001321
60,0.05,relu,gradient_shap,0.9568,9.335,4.157
60,0.05,relu,integrated_gradients,0.9856,8.91,3.59
60,0.05,relu,smooth_grad,0.9856,8.372,3.53
60,0.1,relu,acc,1.0
60,0.1,relu,geodesic_integrated_gradients_5,0.9856,0.009788,0.01255
60,0.1,relu,geodesic_integrated_gradients_10,0.9856,0.009794,0.01255
60,0.1,relu,geodesic_integrated_gradients_15,0.9856,0.009794,0.01255
60,0.1,relu,enhanced_integrated_gradients_5,0.9856,0.03765,0.01292
60,0.1,relu,enhanced_integrated_gradients_10,0.9856,0.05624,0.0326
60,0.1,relu,enhanced_integrated_gradients_15,0.9856,0.1404,0.1346
60,0.1,relu,gradient_shap,0.9672,9.937,4.042
60,0.1,relu,integrated_gradients,0.9856,9.512,3.157
60,0.1,relu,smooth_grad,0.9856,9.057,2.82
60,0.15,relu,acc,0.9912
60,0.15,relu,geodesic_integrated_gradients_5,0.9824,0.1263,0.2435
60,0.15,relu,geodesic_integrated_gradients_10,0.9816,0.0902,0.235
60,0.15,relu,geodesic_integrated_gradients_15,0.9824,0.1099,0.2352
60,0.15,relu,enhanced_integrated_gradients_5,0.9784,0.3889,0.3328
60,0.15,relu,enhanced_integrated_gradients_10,0.8632,0.473,2.668
60,0.15,relu,enhanced_integrated_gradients_15,0.8536,0.3822,3.556
60,0.15,relu,gradient_shap,0.8752,4.186,3.565
60,0.15,relu,integrated_gradients,0.9072,3.872,3.233
60,0.15,relu,smooth_grad,0.9064,3.585,2.737
60,0.2,relu,acc,0.972
60,0.2,relu,geodesic_integrated_gradients_5,0.0192,0.2261,0.2544
60,0.2,relu,geodesic_integrated_gradients_10,0.0128,0.193,0.2416
60,0.2,relu,geodesic_integrated_gradients_15,0.012,0.1953,0.246
60,0.2,relu,enhanced_integrated_gradients_5,0.2592,0.586,2.04
60,0.2,relu,enhanced_integrated_gradients_10,0.54,1.255,1.813
60,0.2,relu,enhanced_integrated_gradients_15,0.492,1.112,1.488
60,0.2,relu,gradient_shap,0.636,5.831,1.832
60,0.2,relu,integrated_gradients,0.6424,5.678,1.612
60,0.2,relu,smooth_grad,0.6504,5.554,1.597
60,0.25,relu,acc,0.9448
60,0.25,relu,geodesic_integrated_gradients_5,0.948,0.2571,0.4495
